data,obiekt,band,max,min,mean,max-min,max_after,min_after,mean_after,max-min_after
2020-05-14,ws,b2,348,128,161.91509433962264,220,200.0,131.0,160.33333333333334,69.0
2020-05-14,ws,b3,361,141,228.64150943396226,220,308.0,152.0,227.8235294117647,156.0
2020-05-14,ws,b4,223,60,133.9433962264151,163,218.0,72.0,133.58823529411765,146.0
2020-05-14,ws,b5,268,48,138.31132075471697,220,262.0,55.0,137.50980392156862,207.0
2020-05-14,ws,b6,233,18,58.37735849056604,215,112.0,25.0,56.85294117647059,87.0
2020-05-14,ws,b7,310,16,63.613207547169814,294,110.0,30.0,61.588235294117645,80.0
2020-05-14,ws,b8,366,28,60.424528301886795,338,112.0,32.0,57.51960784313726,80.0
2020-05-14,ws,b9,297,3,45.91509433962264,294,165.0,8.0,42.38235294117647,157.0
2020-05-14,ws,b10,200,17,36.45283018867924,183,70.0,18.0,34.833333333333336,52.0
2020-05-14,ws,b11,154,12,28.556603773584907,142,54.0,14.0,27.323529411764707,40.0
2020-05-14,ws,b12,351,16,45.198113207547166,335,91.0,18.0,42.28431372549019,73.0
2020-05-14,wp,b1,554,126,267.03061224489795,428,444.0,131.0,265.09574468085106,313.0
2020-05-14,wp,b2,363,81,187.40816326530611,282,292.0,126.0,186.43617021276594,166.0
2020-05-14,wp,b3,486,145,250.6734693877551,341,422.0,163.0,248.2872340425532,259.0
2020-05-14,wp,b4,575,107,212.01020408163265,468,420.0,119.0,208.01063829787233,301.0
2020-05-14,wp,b5,890,52,365.9387755102041,838,764.0,131.0,361.6489361702128,633.0
2020-05-14,wp,b6,1764,0,459.0816326530612,1764,1276.0,77.0,445.67021276595744,1199.0
2020-05-14,wp,b7,2025,37,524.1530612244898,1988,1406.0,55.0,506.3829787234043,1351.0
2020-05-14,wp,b8,1294,120,326.8775510204082,1174,1118.0,135.0,311.09574468085106,983.0
2020-05-14,wp,b9,3464,542,1837.6326530612246,2922,3394.0,645.0,1829.9787234042553,2749.0
2020-05-14,wp,b10,1713,154,668.8265306122449,1559,1488.0,164.0,659.0212765957447,1324.0
2020-05-14,wp,b11,1141,120,463.11224489795916,1021,980.0,139.0,456.2659574468085,841.0
2020-05-14,wp,b12,2212,51,566.6428571428571,2161,1646.0,67.0,546.468085106383,1579.0
2020-05-14,zab,b1,1391,301,686.359649122807,1090,1386.0,361.0,680.5545454545454,1025.0
2020-05-14,zab,b2,4068,267,1394.280701754386,3801,3486.0,372.0,1367.8727272727272,3114.0
2020-05-14,zab,b3,4184,388,1529.4122807017543,3796,3506.0,484.0,1506.8545454545454,3022.0
2020-05-14,zab,b4,4188,311,1650.280701754386,3877,3654.0,545.0,1629.009090909091,3109.0
2020-05-14,zab,b5,3635,879,1740.5526315789473,2756,3082.0,936.0,1723.2363636363636,2146.0
2020-05-14,zab,b6,3539,1110,2134.2105263157896,2429,3407.0,1333.0,2125.836363636364,2074.0
2020-05-14,zab,b7,3689,1261,2286.0175438596493,2428,3544.0,1352.0,2279.909090909091,2192.0
2020-05-14,zab,b8,4644,1064,2413.6140350877195,3580,4100.0,1120.0,2400.2727272727275,2980.0
2020-05-14,zab,b9,3973,1666,2659.5526315789475,2307,3624.0,1864.0,2656.7181818181816,1760.0
2020-05-14,zab,b10,4288,1414,2625.7105263157896,2874,3901.0,1440.0,2620.8545454545456,2461.0
2020-05-14,zab,b11,3949,1029,2327.0,2920,3600.0,1052.0,2321.1272727272726,2548.0
2020-05-14,zab,b12,3621,1288,2383.7982456140353,2333,3447.0,1450.0,2380.2363636363634,1997.0
2020-05-14,igl,b1,233,126,168.22321428571428,107,227.0,133.0,167.75,94.0
2020-05-14,igl,b2,301,181,231.3125,120,289.0,187.0,231.02777777777777,102.0
2020-05-14,igl,b3,444,276,364.36607142857144,168,433.0,299.0,364.5833333333333,134.0
2020-05-14,igl,b4,365,187,257.64285714285717,178,345.0,199.0,257.02777777777777,146.0
2020-05-14,igl,b5,753,484,609.2857142857143,269,718.0,494.0,609.0925925925926,224.0
2020-05-14,igl,b6,1676,1222,1453.5982142857142,454,1606.0,1271.0,1453.712962962963,335.0
2020-05-14,igl,b7,1933,1485,1685.5892857142858,448,1887.0,1488.0,1684.962962962963,399.0
2020-05-14,igl,b8,2168,1396,1858.4642857142858,772,2119.0,1588.0,1860.9259259259259,531.0
2020-05-14,igl,b9,2064,1680,1864.625,384,2028.0,1703.0,1864.2777777777778,325.0
2020-05-14,igl,b10,1259,764,999.1875,495,1194.0,801.0,998.4444444444445,393.0
2020-05-14,igl,b11,713,385,526.6875,328,646.0,412.0,525.8796296296297,234.0
2020-05-14,igl,b12,2114,1605,1846.75,509,2012.0,1652.0,1846.712962962963,360.0
2020-05-14,lisc,b1,267,111,161.7843137254902,156,242.0,119.0,160.8469387755102,123.0
2020-05-14,lisc,b2,375,187,253.7058823529412,188,354.0,194.0,252.58163265306123,160.0
2020-05-14,lisc,b3,630,376,499.078431372549,254,587.0,407.0,499.07142857142856,180.0
2020-05-14,lisc,b4,569,184,291.2549019607843,385,465.0,201.0,288.2244897959184,264.0
2020-05-14,lisc,b5,1041,680,906.0490196078431,361,1022.0,765.0,907.1632653061224,257.0
2020-05-14,lisc,b6,2547,1775,2149.5392156862745,772,2501.0,1828.0,2149.0204081632655,673.0
2020-05-14,lisc,b7,2926,1969,2425.401960784314,957,2768.0,2064.0,2424.4897959183672,704.0
2020-05-14,lisc,b8,3436,1848,2689.098039215686,1588,3138.0,2255.0,2689.5204081632655,883.0
2020-05-14,lisc,b9,3078,2224,2694.274509803922,854,3064.0,2343.0,2695.061224489796,721.0
2020-05-14,lisc,b10,2138,1068,1687.5980392156862,1070,2042.0,1222.0,1689.8979591836735,820.0
2020-05-14,lisc,b11,1300,517,867.9215686274509,783,1159.0,608.0,866.3163265306123,551.0
2020-05-14,lisc,b12,3133,2189,2674.7450980392155,944,3110.0,2319.0,2674.816326530612,791.0
2020-06-01,trw,b1,468,224,276.2073170731707,244,400.0,224.0,273.4871794871795,176.0
2020-06-01,trw,b2,303,174,225.96341463414635,129,274.0,194.0,225.30769230769232,80.0
2020-06-01,trw,b3,650,439,530.560975609756,211,597.0,450.0,530.1153846153846,147.0
2020-06-01,trw,b4,385,213,263.609756097561,172,337.0,226.0,262.14102564102564,111.0
